id,eaf,video_a,video_b,open_pose
1413451-11105600-11163240,https://www.sign-lang.uni-hamburg.de/meinedgs/eaf/1413451-11105600-11163240.eaf,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1413451-11105600-11163240/1413451-11105600-11163240_1a1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1413451-11105600-11163240/1413451-11105600-11163240_1b1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/openpose/1413451-11105600-11163240_openpose.json.gz
1413446,https://www.sign-lang.uni-hamburg.de/meinedgs/eaf/1413446.eaf,,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1413446/1413446_1b1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/openpose/1413446_openpose.json.gz
1413451-11171532-11201836,https://www.sign-lang.uni-hamburg.de/meinedgs/eaf/1413451-11171532-11201836.eaf,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1413451-11171532-11201836/1413451-11171532-11201836_1a1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1413451-11171532-11201836/1413451-11171532-11201836_1b1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/openpose/1413451-11171532-11201836_openpose.json.gz
1413485,https://www.sign-lang.uni-hamburg.de/meinedgs/eaf/1413485.eaf,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1413485/1413485_1a1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1413485/1413485_1b1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/openpose/1413485_openpose.json.gz
1413683,https://www.sign-lang.uni-hamburg.de/meinedgs/eaf/1413683.eaf,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1413683/1413683_1a1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1413683/1413683_1b1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/openpose/1413683_openpose.json.gz
1413703,https://www.sign-lang.uni-hamburg.de/meinedgs/eaf/1413703.eaf,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1413703/1413703_1a1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1413703/1413703_1b1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/openpose/1413703_openpose.json.gz
1413925,https://www.sign-lang.uni-hamburg.de/meinedgs/eaf/1413925.eaf,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1413925/1413925_1a1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1413925/1413925_1b1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/openpose/1413925_openpose.json.gz
1414123,https://www.sign-lang.uni-hamburg.de/meinedgs/eaf/1414123.eaf,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1414123/1414123_1a1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1414123/1414123_1b1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/openpose/1414123_openpose.json.gz
1414312,https://www.sign-lang.uni-hamburg.de/meinedgs/eaf/1414312.eaf,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1414312/1414312_1a1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1414312/1414312_1b1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/openpose/1414312_openpose.json.gz
1414503,https://www.sign-lang.uni-hamburg.de/meinedgs/eaf/1414503.eaf,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1414503/1414503_1a1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/videos/1414503/1414503_1b1.mp4,https://www.sign-lang.uni-hamburg.de/meinedgs/openpose/1414503_openpose.json.gz
